timestamp,prev,real,pred,diff,position,asset
2022-01-01 09:00:00,56784000.0,57915000.0,58087178.813350305,-0.2972957150139083,1.0,10000.0
2022-01-02 09:00:00,57915000.0,57531000.0,57513551.43176281,0.0303289847859292,0.0,10199.175824175823
2022-01-03 09:00:00,57531000.0,56641000.0,56802969.120064266,-0.28595738080942434,0.0,10199.175824175823
2022-01-04 09:00:00,56641000.0,56023000.0,55423168.68177702,1.0706876072737574,0.0,10199.175824175823
2022-01-05 09:00:00,56023000.0,53854000.0,54129723.45010333,-0.5119832326351387,0.0,10199.175824175823
2022-01-06 09:00:00,53854000.0,53239000.0,53500852.446123615,-0.4918432842908675,0.0,10199.175824175823
2022-01-07 09:00:00,53239000.0,51449000.0,51376775.210044995,0.1403813289957143,0.0,10199.175824175823
2022-01-08 09:00:00,51449000.0,52142000.0,52555040.316434205,-0.7921451352733009,1.0,10199.175824175823
2022-01-09 09:00:00,52142000.0,51678000.0,52028432.03765796,-0.678106810747245,0.0,10336.555148286183
2022-01-10 09:00:00,51678000.0,51246000.0,51434986.10649996,-0.3687821615344856,0.0,10336.555148286183
2022-01-11 09:00:00,51246000.0,52307000.0,51934119.322141215,0.7128695544741331,1.0,10336.555148286183
2022-01-12 09:00:00,52307000.0,53349000.0,52773159.44457785,1.0793839723746455,1.0,10550.56375407652
2022-01-13 09:00:00,53349000.0,51885000.0,51995079.38897955,-0.21216033339027993,0.0,10760.73997201576
2022-01-14 09:00:00,51885000.0,52230000.0,51899302.784675375,0.6331556870086643,0.0,10760.73997201576
2022-01-15 09:00:00,52230000.0,52357000.0,52553855.406176835,-0.37598679484469183,1.0,10760.73997201576
2022-01-16 09:00:00,52357000.0,52165000.0,51929443.403657526,0.4515606179286384,0.0,10786.90527885945
2022-01-17 09:00:00,52165000.0,51436000.0,51403233.978416145,0.06370250716201717,0.0,10786.90527885945
2022-01-18 09:00:00,51436000.0,51179000.0,51194758.31980583,-0.030790597326697897,0.0,10786.90527885945
2022-01-19 09:00:00,51179000.0,50333000.0,50502705.58069693,-0.3371656382431665,0.0,10786.90527885945
2022-01-20 09:00:00,50333000.0,49648000.0,50083017.141676515,-0.8762027507180861,0.0,10786.90527885945
2022-01-21 09:00:00,49648000.0,45316000.0,45664090.782622606,-0.7681410155852361,0.0,10786.90527885945
2022-01-22 09:00:00,45316000.0,43375000.0,43703898.01712621,-0.7582663219048069,0.0,10786.90527885945
2022-01-23 09:00:00,43375000.0,44253000.0,44343658.43103958,-0.2048639211795341,1.0,10786.90527885945
2022-01-24 09:00:00,44253000.0,44731000.0,44873669.6028503,-0.3189501751588452,1.0,11005.254623754865
2022-01-25 09:00:00,44731000.0,44909000.0,44985300.06739775,-0.16989927942673164,1.0,10571.167173282262
2022-01-26 09:00:00,44909000.0,45100000.0,45073147.92664355,0.05953896531363549,1.0,10613.233475328812
2022-01-27 09:00:00,45100000.0,45809000.0,45588232.49153054,0.4819304251772848,1.0,10658.372035389999
2022-01-28 09:00:00,45809000.0,46588000.0,46496765.155823745,0.19583335660739923,1.0,10825.928260957438
2022-01-29 09:00:00,46588000.0,47146000.0,46862186.60330528,0.6019882846789119,1.0,11010.027414295993
2022-01-30 09:00:00,47146000.0,47208000.0,46951952.47828394,0.5423816338672646,0.0,11141.89818138574
2022-01-31 09:00:00,47208000.0,47266000.0,46936886.66043644,0.6963003841314337,0.0,11141.89818138574
2022-02-01 09:00:00,47266000.0,47760000.0,47889621.20459386,-0.2714011821479473,1.0,11141.89818138574
2022-02-02 09:00:00,47760000.0,45517000.0,45444788.14348722,0.15864810183618758,0.0,11258.347589027693
2022-02-03 09:00:00,45517000.0,45835000.0,45984735.09260464,-0.3266828681240038,1.0,11258.347589027693
2022-02-04 09:00:00,45835000.0,50633000.0,50208999.800122425,0.8373989293100844,1.0,11337.002916340803
2022-02-05 09:00:00,50633000.0,50788000.0,50892803.52219915,-0.20635489131122794,1.0,12523.758452341746
2022-02-06 09:00:00,50788000.0,51732000.0,51682258.17356708,0.09615291586043646,1.0,12562.096740811972
2022-02-07 09:00:00,51732000.0,53511000.0,53240249.133781604,0.5059723537560419,1.0,12795.58928478548
2022-02-08 09:00:00,53511000.0,53651000.0,53733386.563789114,-0.1535601643755277,1.0,13235.613898905045
2022-02-09 09:00:00,53651000.0,53660000.0,53742091.610925905,-0.152984738959943,0.0,13270.24203042654
2022-02-10 09:00:00,53660000.0,53123000.0,53300354.496002525,-0.3338563258899631,0.0,13270.24203042654
2022-02-11 09:00:00,53123000.0,51882000.0,51686678.75733817,0.376472076369119,0.0,13270.24203042654
2022-02-12 09:00:00,51882000.0,51597000.0,51817712.74527115,-0.4277627483596843,0.0,13270.24203042654
2022-02-13 09:00:00,51597000.0,51550000.0,51556925.20329933,-0.013433954023915975,0.0,13270.24203042654
2022-02-14 09:00:00,51550000.0,51586000.0,51941593.35618895,-0.6893214364148275,1.0,13270.24203042654
2022-02-15 09:00:00,51586000.0,53832000.0,53805418.985530846,0.049377720443517195,1.0,13279.509318750406
2022-02-16 09:00:00,53832000.0,53298000.0,53020391.69679121,0.5208606386896144,0.0,13857.685140289455
2022-02-17 09:00:00,53298000.0,49376000.0,50021381.34440304,-1.3070749846140703,0.0,13857.685140289455
2022-02-18 09:00:00,49376000.0,49015000.0,49744481.29130534,-1.4882817327457734,1.0,13857.685140289455
2022-02-19 09:00:00,49015000.0,49035000.0,47820406.68131964,2.4769925944332845,0.0,13580.531437483665
2022-02-20 09:00:00,49035000.0,47131000.0,47209751.152532466,-0.16708992495908373,0.0,13580.531437483665
